ID,Energy
2023-01-01 06:00:00_B_0,0
2023-01-01 11:00:00_B_0,0
2023-01-01 12:00:00_B_0,0
2023-01-01 13:00:00_B_0,0
2023-01-01 23:00:00_B_0,0
2023-01-02 07:00:00_B_0,0
2023-01-02 19:00:00_B_0,0
2023-01-04 02:00:00_B_0,0
2023-01-04 05:00:00_B_0,0
2023-01-04 09:00:00_B_0,0
2023-01-04 13:00:00_B_0,0
2023-01-05 02:00:00_B_0,0
2023-01-05 06:00:00_B_0,0
2023-01-05 11:00:00_B_0,0
2023-01-05 13:00:00_B_0,0
2023-01-05 18:00:00_B_0,0
2023-01-06 06:00:00_B_0,0
2023-01-06 22:00:00_B_0,0
2023-01-07 10:00:00_B_0,0
2023-01-01 02:00:00_B_1,0
2023-01-01 09:00:00_B_1,0
2023-01-02 13:00:00_B_1,0
2023-01-02 15:00:00_B_1,0
2023-01-02 18:00:00_B_1,0
2023-01-03 01:00:00_B_1,0
2023-01-03 05:00:00_B_1,0
2023-01-03 13:00:00_B_1,0
2023-01-03 14:00:00_B_1,0
2023-01-03 17:00:00_B_1,0
2023-01-03 18:00:00_B_1,0
2023-01-03 23:00:00_B_1,0
2023-01-04 01:00:00_B_1,0
2023-01-04 03:00:00_B_1,0
2023-01-04 08:00:00_B_1,0
2023-01-04 09:00:00_B_1,0
2023-01-04 12:00:00_B_1,0
2023-01-04 16:00:00_B_1,0
2023-01-04 19:00:00_B_1,0
2023-01-04 22:00:00_B_1,0
2023-01-05 11:00:00_B_1,0
2023-01-05 18:00:00_B_1,0
2023-01-05 19:00:00_B_1,0
2023-01-05 20:00:00_B_1,0
2023-01-05 23:00:00_B_1,0
2023-01-06 03:00:00_B_1,0
2023-01-06 05:00:00_B_1,0
2023-01-06 17:00:00_B_1,0
2023-01-01 02:00:00_B_2,0
2023-01-01 05:00:00_B_2,0
2023-01-01 09:00:00_B_2,0
2023-01-02 03:00:00_B_2,0
2023-01-02 05:00:00_B_2,0
2023-01-02 10:00:00_B_2,0
2023-01-02 17:00:00_B_2,0
2023-01-02 20:00:00_B_2,0
2023-01-02 21:00:00_B_2,0
2023-01-03 08:00:00_B_2,0
2023-01-03 16:00:00_B_2,0
2023-01-03 19:00:00_B_2,0
2023-01-03 22:00:00_B_2,0
2023-01-04 11:00:00_B_2,0
2023-01-04 12:00:00_B_2,0
2023-01-04 17:00:00_B_2,0
2023-01-04 23:00:00_B_2,0
2023-01-05 00:00:00_B_2,0
2023-01-05 06:00:00_B_2,0
2023-01-05 10:00:00_B_2,0
2023-01-05 20:00:00_B_2,0
2023-01-06 03:00:00_B_2,0
2023-01-06 04:00:00_B_2,0
2023-01-06 19:00:00_B_2,0
2023-01-07 06:00:00_B_2,0
2023-01-01 08:00:00_B_3,0
2023-01-01 15:00:00_B_3,0
2023-01-01 17:00:00_B_3,0
2023-01-01 18:00:00_B_3,0
2023-01-01 22:00:00_B_3,0
2023-01-02 00:00:00_B_3,0
2023-01-02 02:00:00_B_3,0
2023-01-02 03:00:00_B_3,0
2023-01-02 04:00:00_B_3,0
2023-01-02 09:00:00_B_3,0
2023-01-02 11:00:00_B_3,0
2023-01-02 15:00:00_B_3,0
2023-01-02 16:00:00_B_3,0
2023-01-02 22:00:00_B_3,0
2023-01-03 04:00:00_B_3,0
2023-01-03 05:00:00_B_3,0
2023-01-03 08:00:00_B_3,0
2023-01-03 20:00:00_B_3,0
2023-01-03 22:00:00_B_3,0
2023-01-04 00:00:00_B_3,0
2023-01-04 03:00:00_B_3,0
2023-01-04 05:00:00_B_3,0
2023-01-04 09:00:00_B_3,0
2023-01-04 13:00:00_B_3,0
2023-01-04 17:00:00_B_3,0
2023-01-04 20:00:00_B_3,0
2023-01-05 02:00:00_B_3,0
2023-01-05 06:00:00_B_3,0
2023-01-05 16:00:00_B_3,0
2023-01-05 23:00:00_B_3,0
2023-01-06 10:00:00_B_3,0
2023-01-06 16:00:00_B_3,0
2023-01-06 18:00:00_B_3,0
2023-01-01 04:00:00_B_4,0
2023-01-01 15:00:00_B_4,0
2023-01-01 19:00:00_B_4,0
2023-01-02 03:00:00_B_4,0
2023-01-02 05:00:00_B_4,0
2023-01-02 08:00:00_B_4,0
2023-01-02 09:00:00_B_4,0
2023-01-02 11:00:00_B_4,0
2023-01-02 13:00:00_B_4,0
2023-01-02 19:00:00_B_4,0
2023-01-03 04:00:00_B_4,0
2023-01-03 05:00:00_B_4,0
2023-01-03 08:00:00_B_4,0
2023-01-03 21:00:00_B_4,0
2023-01-04 08:00:00_B_4,0
2023-01-04 09:00:00_B_4,0
2023-01-05 20:00:00_B_4,0
2023-01-05 21:00:00_B_4,0
2023-01-06 03:00:00_B_4,0
2023-01-06 04:00:00_B_4,0
2023-01-06 17:00:00_B_4,0
2023-01-06 18:00:00_B_4,0
2023-01-06 19:00:00_B_4,0
2023-01-07 06:00:00_B_4,0
2023-01-02 09:00:00_B_5,0
2023-01-02 13:00:00_B_5,0
2023-01-02 17:00:00_B_5,0
2023-01-02 21:00:00_B_5,0
2023-01-03 13:00:00_B_5,0
2023-01-03 15:00:00_B_5,0
2023-01-03 21:00:00_B_5,0
2023-01-03 22:00:00_B_5,0
2023-01-04 01:00:00_B_5,0
2023-01-04 10:00:00_B_5,0
2023-01-04 14:00:00_B_5,0
2023-01-04 20:00:00_B_5,0
2023-01-05 00:00:00_B_5,0
2023-01-05 02:00:00_B_5,0
2023-01-05 11:00:00_B_5,0
2023-01-05 20:00:00_B_5,0
2023-01-05 21:00:00_B_5,0
2023-01-06 06:00:00_B_5,0
2023-01-06 07:00:00_B_5,0
2023-01-06 09:00:00_B_5,0
2023-01-06 18:00:00_B_5,0
2023-01-06 20:00:00_B_5,0
2023-01-07 15:00:00_B_5,0
2023-01-01 01:00:00_B_6,0
2023-01-01 02:00:00_B_6,0
2023-01-01 15:00:00_B_6,0
2023-01-02 00:00:00_B_6,0
2023-01-02 09:00:00_B_6,0
2023-01-02 11:00:00_B_6,0
2023-01-03 03:00:00_B_6,0
2023-01-03 04:00:00_B_6,0
2023-01-03 21:00:00_B_6,0
2023-01-04 01:00:00_B_6,0
2023-01-04 11:00:00_B_6,0
2023-01-04 15:00:00_B_6,0
2023-01-05 00:00:00_B_6,0
